,rank,title,world_lifetime_gross,studio,domestic_opening_gross,budget,MPAA_rating,run_time,genre_list,lead_name,lead_height_m,lead_is_female,audience_score,tomatometer,international_movie,lead_age_years
471,472,Maze Runner: The Scorch Trials,312296056,Twentieth Century Fox,30316510.0,61000000.0,PG-13,,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",Dylan O'Brien,1.78,False,54.0,48.0,False,23.953458437904025
472,473,Resident Evil: The Final Chapter,312242626,Screen Gems,13601682.0,40000000.0,R,107.0,"['Action', 'Horror', 'Sci-Fi']",Milla Jovovich,1.74,True,48.0,37.0,True,41.01574264202601
473,474,Austin Powers: The Spy Who Shagged Me,312016928,New Line Cinema,17981900.0,33000000.0,PG-13,95.0,"['Action', 'Adventure', 'Comedy', 'Crime']",Mike Myers,1.7,False,71.0,52.0,False,35.96167199026542
474,475,The Lego Batman Movie,311950384,Warner Bros.,53003468.0,80000000.0,PG,104.0,"['Action', 'Animation', 'Comedy', 'Family']",Will Arnett,1.89,False,80.0,90.0,False,46.995203057266714
475,476,Knives Out,311539397,Lionsgate,26769548.0,40000000.0,PG-13,130.0,"['Comedy', 'Crime', 'Drama', 'Mystery', 'Thriller']",Daniel Craig,1.78,False,92.0,97.0,False,51.05271883793444
477,478,Little Fockers,310650585,Universal Pictures,30833665.0,100000000.0,PG-13,98.0,"['Comedy', 'Romance']",Ben Stiller,1.68,False,34.0,9.0,False,44.97741463229143
478,479,Bolt,309979994,Walt Disney Studios Motion Pictures,26223128.0,150000000.0,PG,96.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",John Travolta,1.88,False,74.0,89.0,False,54.00686173853524
480,481,Runaway Bride,309460292,Paramount Pictures,35055556.0,70000000.0,PG,,"['Comedy', 'Romance']",Julia Roberts,1.73,True,53.0,46.0,False,32.00546999771846
481,482,The Blind Side,309208309,Warner Bros.,34119372.0,29000000.0,PG-13,129.0,"['Biography', 'Drama', 'Sport']",Quinton Aaron,2.03,False,85.0,66.0,False,25.015748345881814
483,484,The Fault in Our Stars,307166834,Twentieth Century Fox,48002523.0,12000000.0,PG-13,126.0,"['Drama', 'Romance']",Shailene Woodley,1.73,True,85.0,81.0,False,22.970558597611983
485,486,Rise of the Guardians,306941670,DreamWorks,23773465.0,145000000.0,PG,97.0,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']",Hugh Jackman,1.88,False,80.0,75.0,False,44.02464255836946
487,488,Chicago,306776732,Miramax,2074929.0,45000000.0,PG-13,113.0,"['Comedy', 'Crime', 'Musical']",Renée Zellweger,1.6,True,83.0,86.0,False,33.00204958551981
488,489,Annabelle: Creation,306515884,Warner Bros.,35006404.0,15000000.0,R,109.0,"['Horror', 'Mystery', 'Thriller']",Anthony LaPaglia,1.78,False,67.0,71.0,False,57.924722412350754
490,491,Skyscraper,304868961,Universal Pictures,24905015.0,125000000.0,PG-13,102.0,"['Action', 'Adventure', 'Thriller']",Dwayne Johnson,1.96,False,69.0,48.0,False,46.026013385048294
491,492,A Good Day to Die Hard,304654182,Twentieth Century Fox,24834845.0,92000000.0,R,98.0,"['Action', 'Thriller']",Bruce Willis,1.83,False,40.0,15.0,False,57.96577496387558
494,495,Passengers,303144152,Sony Pictures Entertainment (SPE),14869736.0,110000000.0,PG-13,116.0,"['Drama', 'Romance', 'Sci-Fi', 'Thriller']",Jennifer Lawrence,1.75,True,63.0,30.0,False,26.015065784470302
495,496,Battleship,303025485,Universal Pictures,25534825.0,209000000.0,PG-13,131.0,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",Alexander Skarsgård,1.94,False,54.0,34.0,False,35.96166248383908
498,499,Wrath of the Titans,301970083,Warner Bros.,33457188.0,150000000.0,PG-13,99.0,"['Action', 'Adventure', 'Fantasy']",Sam Worthington,1.78,False,49.0,26.0,False,36.07117461403909
